home_team,away_team,home_win_pct_fangraphs,away_win_pct_fangraphs,home_sportsbook,home_odds,home_win_pct_oddstrader,away_sportsbook,away_odds,away_win_pct_oddstrader,home_team_win,home_diff,away_diff,home_ev,away_ev,home_payout,away_payout
Rays,Twins,0.542,0.45799999999999996,FanDuel,-102,0.504950495049505,Bet365,-110,0.5238095238095238,0.0,0.03704950495049508,-0.06580952380952387,0.07337254901960788,-0.1256363636363637,0.9803921568627451,0.9090909090909091
Reds,Astros,0.451,0.5489999999999999,BetRivers,+140,0.4166666666666667,Caesars,-160,0.6153846153846154,1.0,0.03433333333333333,-0.06638461538461549,0.08240000000000003,-0.10787500000000011,1.4,0.625
Athletics,Mariners,0.47700000000000004,0.523,Bet365,+120,0.45454545454545453,Caesars,-140,0.5833333333333334,1.0,0.022454545454545505,-0.06033333333333335,0.04940000000000011,-0.10342857142857137,1.2,0.7142857142857143
Padres,Tigers,0.584,0.41600000000000004,SugarHouse,-195,0.6610169491525424,BetRivers,+180,0.35714285714285715,1.0,-0.07701694915254242,0.058857142857142886,-0.11651282051282058,0.16480000000000017,0.5128205128205128,1.8
Rangers,Yankees,0.42100000000000004,0.579,BetRivers,+185,0.3508771929824561,BetMGM,-185,0.6491228070175439,0.0,0.07012280701754392,-0.07012280701754392,0.1998500000000002,-0.10802702702702704,1.85,0.5405405405405406
Mets,RedSox,0.515,0.485,Caesars,-115,0.5348837209302325,Bet365,+100,0.5,1.0,-0.019883720930232496,-0.015000000000000013,-0.037173913043478224,-0.030000000000000027,0.8695652173913043,1.0
Cubs,Pirates,0.536,0.46399999999999997,BetMGM,-145,0.5918367346938775,Caesars,+130,0.43478260869565216,0.0,-0.05583673469387751,0.029217391304347806,-0.09434482758620683,0.06719999999999993,0.6896551724137931,1.3
Tigers,RedSox,0.535,0.465,BetMGM,-105,0.5121951219512195,SugarHouse,-106,0.5145631067961165,1.0,0.022804878048780508,-0.049563106796116474,0.04452380952380952,-0.09632075471698104,0.9523809523809523,0.9433962264150944
Reds,Brewers,0.513,0.48700000000000004,FanDuel,+116,0.46296296296296297,BetRivers,-122,0.5495495495495496,1.0,0.050037037037037047,-0.06254954954954955,0.10807999999999995,-0.11381967213114741,1.16,0.819672131147541
Yankees,Cardinals,0.639,0.361,Bet365,-240,0.7058823529411765,BetRivers,+210,0.3225806451612903,0.0,-0.0668823529411765,0.038419354838709674,-0.09474999999999995,0.11909999999999998,0.4166666666666667,2.1
